Tipo               | Vertices   | Arestas    | Metodo          | Tempo de execucao    | Ciclo euleriano?     | Trajeto euleriano?   | Possui pontes?  | Execução                 
Bridge-connected   | 2000       | 2000       | Fleury naive    | 11ms                 | Nao                  | Sim                  | Sim             | 15:12:38.128126200       
Bridge-connected   | 2000       | 2000       | Fleury tarjan   | 3ms                  | Nao                  | Sim                  | Sim             | 15:12:38.132128400       
Bridge-connected   | 2000       | 2000       | Fleury naive    | 9ms                  | Nao                  | Sim                  | Sim             | 15:12:40.297953600       
Bridge-connected   | 2000       | 2000       | Fleury tarjan   | 2ms                  | Nao                  | Sim                  | Sim             | 15:12:40.304102600       
Bridge-connected   | 2000       | 2001       | Fleury naive    | 1ms                  | Nao                  | Nao                  | Sim             | 15:12:42.418334200       
Bridge-connected   | 2000       | 2001       | Fleury tarjan   | 0ms                  | Nao                  | Nao                  | Sim             | 15:12:42.422333700       
Bridge-connected   | 2000       | 2000       | Fleury naive    | 11ms                 | Nao                  | Sim                  | Sim             | 15:13:11.852838200       
Bridge-connected   | 2000       | 2000       | Fleury tarjan   | 3ms                  | Nao                  | Sim                  | Sim             | 15:13:11.859006400       
Eulerian           | 2000       | 2000       | Fleury naive    | 12ms                 | Sim                  | Sim                  | Nao             | 15:35:14.409383200       
Eulerian           | 2000       | 2000       | Fleury tarjan   | 3ms                  | Sim                  | Sim                  | Nao             | 15:35:14.417897300       
Eulerian           | 5000       | 5000       | Fleury naive    | 25ms                 | Sim                  | Sim                  | Nao             | 15:36:34.191506100       
Eulerian           | 5000       | 5000       | Fleury tarjan   | 9ms                  | Sim                  | Sim                  | Nao             | 15:36:34.208567700       
Eulerian           | 10         | 10         | Fleury naive    | 9ms                  | Sim                  | Sim                  | Nao             | 15:38:39.834121          
Eulerian           | 10         | 10         | Fleury tarjan   | 1ms                  | Sim                  | Sim                  | Nao             | 15:38:39.841120600       
Semi-Eulerian      | 10         | 11         | Fleury naive    | 5ms                  | Nao                  | Sim                  | Nao             | 15:39:25.510931100       
Semi-Eulerian      | 10         | 11         | Fleury tarjan   | 1ms                  | Nao                  | Sim                  | Nao             | 15:39:25.515446800       
Semi-Eulerian      | 5000       | 5001       | Fleury naive    | 42ms                 | Nao                  | Sim                  | Nao             | 15:58:26.766831200       
Semi-Eulerian      | 5000       | 5001       | Fleury tarjan   | 8ms                  | Nao                  | Sim                  | Nao             | 15:58:26.781859500       
Bridge-connected   | 4000       | 4000       | Fleury naive    | 20ms                 | Nao                  | Sim                  | Sim             | 15:58:43.117671900       
Bridge-connected   | 4000       | 4000       | Fleury tarjan   | 7ms                  | Nao                  | Sim                  | Sim             | 15:58:43.127192700       
Semi-Eulerian      | 10000      | 10001      | Fleury naive    | 57ms                 | Nao                  | Sim                  | Nao             | 15:59:23.437001300       
Semi-Eulerian      | 100000     | 100001     | Fleury naive    | 810ms                | Nao                  | Sim                  | Nao             | 15:59:33.784816300       
Semi-Eulerian      | 1000000    | 1000001    | Fleury naive    | 74s                  | Nao                  | Sim                  | Nao             | 16:01:02.275574800       
Semi-Eulerian      | 5          | 6          | Fleury naive    | 0ms                  | Nao                  | Sim                  | Nao             | 12:32:03.535609600       
Semi-Eulerian      | 5          | 6          | Fleury tarjan   | 0ms                  | Nao                  | Sim                  | Nao             | 12:32:03.535609600       
Bridge-connected   | 5          | 6          | Fleury naive    | 0ms                  | Nao                  | Sim                  | Nao             | 12:32:08.598517200       
